IV,BID,ASK,STRIKE,IV,BID,ASK,STRIKE,IV,BID,ASK,STRIKE,IV,BID,ASK,STRIKE,IV,BID,ASK,STRIKE
-,3132.15,3920.1,20400,-,3705.95,3793.7,20350,-,-,-,22500,-,-,-,17000,-,-,-,13000
-,3088.9,3949.1,20450,-,3640.8,3788.25,20400,-,-,-,22550,-,-,-,18000,-,-,-,15000
-,3447.1,3566.5,20500,-,3226,3802.25,20450,-,-,-,22600,-,-,-,19000,-,-,-,16000
-,2992,4672.15,20550,-,3578.55,3639.75,20500,-,-,-,22650,-,-,-,20000,-,-,-,16500
-,2957.25,3706.85,20600,-,3135,3702.15,20550,-,-,-,22700,-,3532.35,3861.2,21000,-,7021,8310,17000
-,3310.15,3429.95,20650,-,3318.45,3597.25,20600,-,-,-,22750,-,2682.35,2730,22000,-,-,6800,18000
-,2870.2,3600.1,20700,-,3047.6,3598.15,20650,-,-,-,22800,-,1889.15,1939.95,23000,-,-,6000,19000
-,3202.6,3668.7,20750,-,3029.1,3493.3,20700,-,-,-,22850,9.39,1220,1235.55,24000,-,-,-,19500
-,2782.95,3569.05,20800,-,2959.4,3502.35,20750,-,-,-,22900,10.54,675.1,688.1,25000,-,4708.9,4768.45,20000
-,2740.05,3514.35,20850,20.87,2986.7,3359.95,20800,-,-,-,22950,10.89,321,330,26000,-,3871.25,3921.95,21000
-,3051.7,3165.55,20900,20.93,2887.45,3379.85,20850,-,1590.25,1700.7,23000,10.96,132,141.45,27000,-,3077.65,3116.4,22000
-,2650.2,3328.9,20950,21.14,2895.85,3297.35,20900,-,-,-,23050,11.49,56,59,28000,-,2305.9,2333,23000
-,2947.15,3010,21000,21.24,2796.75,3287.55,20950,-,1511.95,-,23100,13.45,39.2,43.9,29000,6.56,1633,1650.55,24000
-,2280.25,3227,21050,-,3099.05,3138.2,21000,-,-,-,23150,,,,,8.56,1035.8,1048.85,25000
-,2842.5,3371.6,21100,21.31,2710.15,3185.2,21050,-,1358.9,-,23200,,,,,9.26,585,605,26000
-,2806.05,2933.05,21150,-,2709.75,3100.65,21100,-,-,-,23250,,,,,9.74,308.85,316.05,27000
-,2131.5,3070.2,21200,21.52,2620.9,3089.95,21150,-,1170.15,-,23300,,,,,10.1,156,159,28000
-,2390.65,3019.1,21250,-,2863.05,2962.25,21200,-,-,-,23350,,,,,10.92,91.3,98.85,29000
-,2386.9,3027.15,21300,21.73,2531.15,2987.45,21250,-,979.7,1435.65,23400,,,,,11.97,58.1,60.95,30000
-,2302.85,2970.15,21350,20.08,2486.7,2898.45,21300,-,-,-,23450,,,,,12.85,39.65,40.5,31000
-,2298.1,2858.9,21400,21.21,2437.6,2894.05,21350,11.68,865.25,-,23500,,,,,,,,
-,2494.7,2986.8,21450,20.37,2394.35,2776,21400,-,-,-,23550,,,,,,,,
48.5,2464.35,2573.55,21500,21.25,2350.2,2788.85,21450,-,1170.35,2176.55,23600,,,,,,,,
-,2405.95,2536.55,21550,-,2615.75,2648.95,21500,-,-,1425.5,23650,,,,,,,,
-,2171.65,2652.55,21600,21.22,2260.15,2696,21550,-,1106.9,2095,23700,,,,,,,,
