CALLS,,PUTS
,"OI
","CHNG IN OI
","VOLUME
","IV
","LTP
","CHNG
","BID QTY
","BID
","ASK
","ASK QTY
","STRIKE
","BID QTY
","BID
","ASK
","ASK QTY
","CHNG
","LTP
","IV
","VOLUME
","CHNG IN OI
","OI
",
,13,2,2,-,"3,747.45",-252.55,225,"3,705.95","3,793.70",150,"20,350.00",75,19.50,21.00,"7,275",4.70,19.50,29.62,"4,370",376,"2,937",
,16,-,-,-,"3,800.00",-,75,"3,640.80","3,788.25",75,"20,400.00",75,19.20,22.00,150,6.10,22.00,29.86,"6,604",-954,"2,492",
,15,1,1,-,"3,703.50",-100.20,"1,725","3,226.00","3,802.25","1,725","20,450.00",900,16.65,35.95,300,5.15,22.70,29.66,199,43,100,
,"1,716",46,138,-,"3,584.10",-242.10,75,"3,578.55","3,639.75",75,"20,500.00",150,23.05,25.00,"2,625",4.10,23.05,29.38,"14,936",647,"34,491",
,15,1,1,-,"3,605.05",188.90,"1,725","3,135.00","3,702.15","1,725","20,550.00",900,18.65,-,-,5.15,24.40,29.31,154,37,85,
,11,-,-,-,"3,789.00",-,75,"3,318.45","3,597.25",75,"20,600.00","1,800",20.20,30.00,300,-1.25,18.65,27.66,"1,543",-134,656,
,19,1,1,-,"3,512.45",208.05,"1,725","3,047.60","3,598.15","1,725","20,650.00",900,19.10,38.70,"1,725",5.25,26.65,29.04,161,148,269,
,16,-,2,-,"3,526.80",-80.30,"1,725","3,029.10","3,493.30",75,"20,700.00",375,20.65,28.10,75,5.80,26.85,28.71,812,67,293,
,14,1,1,-,"3,420.95",213.30,"1,725","2,959.40","3,502.35","1,725","20,750.00","3,450",20.35,-,-,-,20.45,-,-,-,32,
,28,1,1,20.87,"3,435.85",-107.40,"1,800","2,986.70","3,359.95",150,"20,800.00",375,27.85,28.95,75,6.00,28.80,28.34,"2,299",64,"1,342",
,22,1,1,20.93,"3,386.85",277.55,"1,725","2,887.45","3,379.85","1,725","20,850.00","4,200",20.50,-,-,-,22.40,-,-,-,36,
,23,1,1,21.14,"3,338.20",-26.30,"1,650","2,895.85","3,297.35",75,"20,900.00",75,22.70,44.45,"1,725",7.85,31.65,28.10,"1,890",163,"1,109",
,22,1,1,21.24,"3,289.45",-77.55,"1,725","2,796.75","3,287.55","1,725","20,950.00",900,26.10,37.20,900,6.20,30.60,27.55,67,36,78,
,"7,205",115,425,-,"3,095.00",-255.85,75,"3,099.05","3,138.20",150,"21,000.00",225,33.30,34.45,"1,950",6.65,33.30,27.62,"22,251","2,245","35,497",
,24,1,1,21.31,"3,191.95",-30.30,"1,725","2,710.15","3,185.20","1,725","21,050.00","4,200",20.90,-,-,-,30.25,-,-,-,14,
,40,1,1,-,"3,092.95",-157.05,"1,800","2,709.75","3,100.65",75,"21,100.00",750,31.25,40.65,"1,500",9.20,35.85,27.26,"1,145",47,878,
