CALLS,,PUTS
,"OI
","CHNG IN OI
","VOLUME
","IV
","LTP
","CHNG
","BID QTY
","BID
","ASK
","ASK QTY
","STRIKE
","BID QTY
","BID
","ASK
","ASK QTY
","CHNG
","LTP
","IV
","VOLUME
","CHNG IN OI
","OI
",
,-,-,-,-,-,-,"1,725","3,132.15","3,920.10","1,725","20,400.00","46,125",2.40,2.45,"1,275",1.05,2.40,55.31,"5,89,648","25,645","46,465",
,-,-,-,-,-,-,"1,725","3,088.90","3,949.10","1,725","20,450.00",675,2.45,2.70,"1,800",0.90,2.45,54.94,"1,98,410","14,795","18,256",
,11,-,-,-,"3,751.55",-,150,"3,447.10","3,566.50",150,"20,500.00",75,2.70,3.00,"7,350",1.55,2.95,54.32,"1,85,952","9,305","22,324",
,1,-,-,-,"3,343.15",-,"1,725","2,992.00","4,672.15",150,"20,550.00",75,2.75,4.00,450,1.30,2.85,54.14,"45,645","1,201","1,457",
,1,-,-,-,"3,281.55",-,"1,725","2,957.25","3,706.85","1,725","20,600.00","1,725",2.80,3.50,75,1.00,2.55,52.73,"70,180","1,548","2,332",
,-,-,-,-,-,-,150,"3,310.15","3,429.95",150,"20,650.00","1,050",2.85,3.55,"1,650",1.90,3.55,54.03,"34,830",300,707,
,1,-,-,-,"3,180.25",-,150,"2,870.20","3,600.10","1,725","20,700.00","1,725",3.00,3.95,450,1.20,2.80,51.81,"56,662",706,"1,834",
,1,-,-,-,"3,423.25",-,150,"3,202.60","3,668.70","1,725","20,750.00",150,2.70,4.15,450,2.15,3.90,53.12,"36,628",260,569,
,1,-,-,-,"3,073.60",-,"1,725","2,782.95","3,569.05","1,725","20,800.00",75,3.15,3.95,225,2.25,4.00,52.51,"62,281","1,117","2,789",
,-,-,-,-,-,-,"1,725","2,740.05","3,514.35","1,725","20,850.00","1,575",3.45,4.05,75,1.50,3.35,50.65,"33,177",395,520,
,2,-,-,-,"3,345.00",-,150,"3,051.70","3,165.55",150,"20,900.00","1,050",3.60,4.00,"1,725",1.70,3.60,50.33,"86,642","5,786","9,690",
,1,-,-,-,"2,924.85",-,"1,725","2,650.20","3,328.90",150,"20,950.00","2,550",3.50,4.65,"1,500",1.75,3.80,49.90,"37,387",533,839,
