CALLS,,PUTS
,"OI
","CHNG IN OI
","VOLUME
","IV
","LTP
","CHNG
","BID QTY
","BID
","ASK
","ASK QTY
","STRIKE
","BID QTY
","BID
","ASK
","ASK QTY
","CHNG
","LTP
","IV
","VOLUME
","CHNG IN OI
","OI
",
,-,-,-,-,-,-,-,-,-,-,"22,500.00",375,253.00,255.00,75,98.50,252.00,20.45,644,333,333,
,-,-,-,-,-,-,-,-,-,-,"22,550.00",75,165.00,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"22,600.00",900,72.25,299.95,900,79.85,249.30,19.75,117,112,112,
,-,-,-,-,-,-,-,-,-,-,"22,650.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"22,700.00",150,262.00,308.35,150,113.35,300.00,20.62,123,123,123,
,-,-,-,-,-,-,-,-,-,-,"22,750.00","1,050",136.25,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"22,800.00",75,280.10,308.75,150,109.90,315.00,20.40,76,76,76,
,-,-,-,-,-,-,-,-,-,-,"22,850.00","1,800",54.50,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"22,900.00",75,217.70,326.60,150,107.15,332.10,20.21,33,26,26,
,-,-,-,-,-,-,-,-,-,-,"22,950.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,150,"1,590.25","1,700.70",750,"23,000.00",150,333.40,342.50,75,88.10,334.25,19.59,986,398,398,
,-,-,-,-,-,-,-,-,-,-,"23,050.00",75,321.10,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,150,"1,511.95",-,-,"23,100.00",75,321.10,391.55,900,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"23,150.00",75,321.10,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,150,"1,358.90",-,-,"23,200.00",900,322.05,410.40,900,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"23,250.00",75,321.00,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,150,"1,170.15",-,-,"23,300.00",900,321.35,434.80,900,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"23,350.00",75,321.00,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,300,979.70,"1,435.65",900,"23,400.00",900,325.05,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"23,450.00",-,-,-,-,-,-,-,-,-,-,
,23,23,28,11.68,"1,319.95",-223.90,"1,500",865.25,-,-,"23,500.00",225,440.05,454.00,75,76.55,451.00,18.98,195,105,105,
,-,-,-,-,-,-,-,-,-,-,"23,550.00",900,433.00,-,-,-,-,-,-,-,-,
